Player ,Status,Years,WAR,ERA,WHIP,WAR vs HOF,ERA vs HOF,WHIP vs HOF
Nelson Briles ,I,14,20.4,3.439,1.2729,-0.695,-0.162,-0.065
Earl Wilson ,I,11,20.3,3.694,1.296,-0.697,-0.248,-0.085
Ken Johnson ,I,13,20.2,3.46,1.199,-0.698,-0.169,-0.003
Scott McGregor ,I,13,20.2,3.99,1.2907,-0.698,-0.348,-0.08
Sam Jones ,I,12,20.2,3.587,1.354,-0.698,-0.212,-0.133
Ron Kline ,I,17,20.2,3.751,1.3686,-0.698,-0.268,-0.145
Rick Reed ,I,15,20.1,4.029,1.2202,-0.7,-0.362,-0.021
Ed Siever ,I,7,20.1,2.598,1.2349,-0.7,0.122,-0.033
Doc Medich ,I,11,20,3.777,1.3322,-0.701,-0.276,-0.115
Carlos Carrasco ,A,11,19.9,3.834,1.2015,-0.703,-0.296,-0.005
Tim Lincecum ,I,10,19.9,3.74,1.2931,-0.703,-0.264,-0.082
John Smiley ,I,12,19.8,3.803,1.2256,-0.704,-0.285,-0.026
Moe Drabowsky ,I,17,19.8,3.707,1.3059,-0.704,-0.253,-0.093
Pat Malone ,I,10,19.8,3.736,1.3781,-0.704,-0.263,-0.153
Johnny Niggeling ,I,9,19.7,3.217,1.3009,-0.706,-0.087,-0.089
Gary Lavelle ,I,13,19.7,2.928,1.3309,-0.706,0.01,-0.114
Mark Mulder ,I,9,19.6,4.185,1.3425,-0.707,-0.414,-0.123
Rick Mahler ,I,13,19.6,3.994,1.3709,-0.707,-0.35,-0.147
Sonny Gray ,A,8,19.5,3.486,1.2124,-0.709,-0.178,-0.015
Fritz Peterson ,I,11,19.5,3.298,1.1914,-0.709,-0.115,0.003
Howie Camnitz ,I,11,19.5,2.749,1.2027,-0.709,0.071,-0.006
Tom Browning ,I,12,19.5,3.94,1.2712,-0.709,-0.332,-0.064
Joe Benz ,I,9,19.4,2.429,1.1466,-0.71,0.179,0.041
Doug Fister ,I,10,19.4,3.721,1.2571,-0.71,-0.258,-0.052
Bill Singer ,I,14,19.4,3.391,1.2571,-0.71,-0.146,-0.052
Kirby Higbe ,I,12,19.4,3.688,1.4045,-0.71,-0.246,-0.175
Bill Swift ,I,11,19.3,3.578,1.2414,-0.712,-0.209,-0.039
Mudcat Grant ,I,14,19.3,3.63,1.2862,-0.712,-0.227,-0.076
Jim Tobin ,I,9,19.3,3.439,1.3084,-0.712,-0.162,-0.095
Togie Pittinger ,I,8,19.3,3.096,1.3481,-0.712,-0.046,-0.128
Julio Teheran ,A,10,19.2,3.737,1.2173,-0.713,-0.263,-0.019
Jim Shaw ,I,9,19.2,3.071,1.3335,-0.713,-0.038,-0.116
Greg Harris ,I,15,19.2,3.687,1.3504,-0.713,-0.246,-0.13
Tanner Roark ,A,8,19.1,3.729,1.2465,-0.715,-0.26,-0.043
Pascual Perez ,I,11,19.1,3.436,1.2143,-0.715,-0.161,-0.016
Mike Timlin ,I,18,19.1,3.632,1.2829,-0.715,-0.227,-0.074
Guy Morton ,I,11,19.1,3.131,1.2904,-0.715,-0.058,-0.08
Bob Shaw ,I,11,19.1,3.523,1.3206,-0.715,-0.191,-0.105
Yovani Gallardo ,I,12,19.1,4.062,1.3651,-0.715,-0.373,-0.142
Jhoulys Chacin ,A,12,19,4.045,1.3323,-0.716,-0.367,-0.115
Jeff Reardon ,I,16,19,3.155,1.1993,-0.716,-0.066,-0.004
Denny Lemaster ,I,11,19,3.585,1.2883,-0.716,-0.212,-0.078
Pete Harnisch ,I,14,19,3.887,1.2956,-0.716,-0.314,-0.084
Mike Caldwell ,I,14,19,3.811,1.3194,-0.716,-0.288,-0.104
Dupee Shaw ,I,6,18.9,3.1,1.1952,-0.718,-0.048,0
Michael Jackson ,I,17,18.9,3.416,1.2177,-0.718,-0.154,-0.019
Pretzels Getzien ,I,9,18.9,3.459,1.2884,-0.718,-0.169,-0.078
Bob Forsch ,I,16,18.9,3.765,1.2914,-0.718,-0.272,-0.081
Ron Perranoski ,I,13,18.9,2.789,1.3323,-0.718,0.057,-0.115
Bill Swift ,I,13,18.9,3.95,1.3722,-0.718,-0.335,-0.148
Leon Cadore ,I,10,18.8,3.135,1.2423,-0.719,-0.059,-0.04
Randy Jones ,I,10,18.8,3.422,1.2509,-0.719,-0.156,-0.047
Ron Darling ,I,13,18.8,3.874,1.3346,-0.719,-0.309,-0.117
Ted Lewis ,I,6,18.8,3.53,1.3452,-0.719,-0.193,-0.126
Jim Bibby ,I,12,18.6,3.756,1.3282,-0.722,-0.269,-0.111
Terry Forster ,I,16,18.6,3.232,1.3485,-0.722,-0.092,-0.128
Steve Stone ,I,11,18.6,3.966,1.3549,-0.722,-0.34,-0.134
Ned Garvin ,I,7,18.5,2.718,1.2373,-0.724,0.081,-0.035
Roberto Hernandez ,I,17,18.5,3.453,1.3665,-0.724,-0.167,-0.144
Clay Carroll ,I,15,18.4,2.939,1.2842,-0.725,0.007,-0.075
Jack Kralick ,I,9,18.3,3.562,1.2775,-0.727,-0.204,-0.069
Matt Morris ,I,11,18.3,3.982,1.3156,-0.727,-0.346,-0.101
Rube Benton ,I,15,18.2,3.085,1.2648,-0.728,-0.043,-0.058
Cherokee Fisher ,I,8,18.1,2.613,1.227,-0.73,0.117,-0.027
Pat Dobson ,I,11,18.1,3.536,1.2772,-0.73,-0.195,-0.069
Shane Reynolds ,I,13,18.1,4.089,1.3139,-0.73,-0.382,-0.099
Woodie Fryman ,I,18,18.1,3.77,1.3507,-0.73,-0.274,-0.13
Steve Barber ,I,15,18.1,3.363,1.3847,-0.73,-0.137,-0.159
Joaquin Benoit ,I,16,18,3.832,1.2352,-0.731,-0.295,-0.034
Ernie Broglio ,I,8,18,3.742,1.3482,-0.731,-0.265,-0.128
Danny Jackson ,I,15,18,4.008,1.4117,-0.731,-0.355,-0.181
Danny Duffy ,A,10,17.9,3.976,1.3123,-0.733,-0.344,-0.098
Jack Warhop ,I,8,17.9,3.115,1.2501,-0.733,-0.053,-0.046
Bob Miller ,I,17,17.9,3.371,1.3505,-0.733,-0.139,-0.13
Francisco Liriano ,A,14,17.8,4.153,1.3591,-0.734,-0.404,-0.137
Britt Burns ,I,8,17.8,3.66,1.2857,-0.734,-0.237,-0.076
Jack Sanford ,I,12,17.8,3.689,1.2902,-0.734,-0.247,-0.08
Oil Can Boyd ,I,10,17.8,4.041,1.2917,-0.734,-0.366,-0.081
Bill Wegman ,I,11,17.8,4.158,1.2943,-0.734,-0.405,-0.083
Dave Koslo ,I,12,17.8,3.682,1.3416,-0.734,-0.244,-0.123
Max Butcher ,I,10,17.8,3.746,1.4102,-0.734,-0.266,-0.18
Carl Morton ,I,8,17.7,3.734,1.406,-0.736,-0.262,-0.177
Patrick Corbin ,A,8,17.6,3.796,1.268,-0.737,-0.283,-0.061
Harry Gumbert ,I,15,17.6,3.682,1.3483,-0.737,-0.244,-0.128
Jose DeLeon ,I,13,17.5,3.762,1.2634,-0.739,-0.271,-0.057
Tom Burgmeier ,I,17,17.5,3.232,1.2831,-0.739,-0.092,-0.074
Vinegar Bend Mizell ,I,9,17.5,3.85,1.3829,-0.739,-0.301,-0.157
Jim Slaton ,I,16,17.5,4.031,1.4074,-0.739,-0.362,-0.178
Frank Smith ,I,11,17.4,2.592,1.1658,-0.74,0.124,0.024
Mike McCormick ,I,16,17.4,3.728,1.2923,-0.74,-0.26,-0.081
Moose Haas ,I,12,17.4,4.013,1.3009,-0.74,-0.356,-0.089
Jesse Petty ,I,7,17.4,3.679,1.3092,-0.74,-0.243,-0.096
Erik Bedard ,I,11,17.4,3.99,1.3615,-0.74,-0.348,-0.139
Dick Ruthven ,I,14,17.4,4.139,1.3855,-0.74,-0.399,-0.159
Masahiro Tanaka ,A,7,17.3,3.742,1.1285,-0.742,-0.265,0.056
C.J. Wilson ,I,11,17.3,3.738,1.3207,-0.742,-0.263,-0.105
Storm Davis ,I,13,17.3,4.023,1.3922,-0.742,-0.36,-0.165
Harry Coveleski ,I,9,17.2,2.394,1.1587,-0.743,0.191,0.03
Bill Bernhard ,I,9,17.2,3.039,1.2416,-0.743,-0.027,-0.039
Ray Culp ,I,11,17.2,3.579,1.2795,-0.743,-0.21,-0.071
Mike Marshall ,I,14,17.2,3.141,1.2945,-0.743,-0.062,-0.083
Al Worthington ,I,14,17.2,3.386,1.3291,-0.743,-0.144,-0.112
Fred Norman ,I,16,17.2,3.638,1.343,-0.743,-0.229,-0.124
Bob Porterfield ,I,12,17.2,3.789,1.3542,-0.743,-0.281,-0.133
Billy Hoeft ,I,15,17.2,3.941,1.356,-0.743,-0.332,-0.135
Mike Minor ,A,9,17.1,3.976,1.2267,-0.745,-0.344,-0.027
Willie Mitchell ,I,11,17.1,2.879,1.2678,-0.745,0.027,-0.061
Dan Plesac ,I,18,17.1,3.635,1.2864,-0.745,-0.228,-0.076
Jim Rooker ,I,13,17.1,3.46,1.3241,-0.745,-0.169,-0.108
Jim Hearn ,I,13,17.1,3.809,1.3594,-0.745,-0.287,-0.138
Dan Petry ,I,13,17.1,3.946,1.3632,-0.745,-0.334,-0.141
Chad Billingsley ,I,9,17,3.719,1.3701,-0.746,-0.257,-0.147
Dick Hall ,I,19,16.9,3.315,1.1019,-0.748,-0.12,0.078
Chris Young ,I,13,16.9,3.953,1.2576,-0.748,-0.336,-0.052
Don Cardwell ,I,14,16.9,3.917,1.2624,-0.748,-0.324,-0.056
Clay Buchholz ,I,13,16.9,3.979,1.2985,-0.748,-0.345,-0.087
Greg Minton ,I,16,16.9,3.096,1.3841,-0.748,-0.046,-0.158
Bob Wickman ,I,15,16.9,3.569,1.4004,-0.748,-0.206,-0.172
Hal Brown ,I,14,16.8,3.814,1.2298,-0.749,-0.289,-0.029
Bobby Bolin ,I,13,16.8,3.404,1.2443,-0.749,-0.15,-0.041
Don Gullett ,I,9,16.7,3.114,1.2273,-0.751,-0.052,-0.027
Larry Cheney ,I,9,16.7,2.698,1.2427,-0.751,0.088,-0.04
Joaquin Andujar ,I,13,16.7,3.582,1.2759,-0.751,-0.211,-0.068
Vic Aldridge ,I,9,16.7,3.756,1.3638,-0.751,-0.269,-0.141
Pete Vuckovich ,I,11,16.7,3.661,1.3736,-0.751,-0.237,-0.149
Willie Hernandez ,I,13,16.6,3.377,1.2454,-0.752,-0.141,-0.042
Roger Craig ,I,12,16.6,3.825,1.3343,-0.752,-0.293,-0.117
Paul Minner ,I,10,16.6,3.943,1.3897,-0.752,-0.333,-0.163
Ted Abernathy ,I,14,16.6,3.456,1.3951,-0.752,-0.168,-0.167
Bryn Smith ,I,13,16.5,3.527,1.2041,-0.754,-0.192,-0.008
Gene Garber ,I,19,16.5,3.338,1.2642,-0.754,-0.128,-0.058
Ray Sadecki ,I,18,16.5,3.783,1.351,-0.754,-0.278,-0.131
Ralph Branca ,I,12,16.5,3.79,1.3713,-0.754,-0.281,-0.148
Trevor Bauer ,A,9,16.4,3.977,1.2795,-0.755,-0.344,-0.071
Roy Patterson ,I,7,16.4,2.749,1.1722,-0.755,0.071,0.019
Jim Colborn ,I,10,16.4,3.803,1.3109,-0.755,-0.285,-0.097
Carl Erskine ,I,12,16.4,3.996,1.3284,-0.755,-0.35,-0.112
Pete Donohue ,I,12,16.4,3.873,1.3544,-0.755,-0.309,-0.133
Ray Herbert ,I,14,16.3,4.014,1.3666,-0.757,-0.357,-0.144
Jim Merritt ,I,11,16.2,3.653,1.207,-0.758,-0.235,-0.01
Vic Raschi ,I,10,16.2,3.721,1.3156,-0.758,-0.258,-0.101
Juan Pizarro ,I,18,16.2,3.433,1.3248,-0.758,-0.16,-0.109
Cliff Melton ,I,8,16.1,3.418,1.2912,-0.759,-0.155,-0.081
Dave Giusti ,I,15,16.1,3.602,1.2955,-0.759,-0.217,-0.084
Steve Busby ,I,8,16.1,3.717,1.3539,-0.759,-0.256,-0.133
Ian Kennedy ,A,14,16,4.118,1.283,-0.761,-0.392,-0.074
Dennis Lamp ,I,16,16,3.928,1.3787,-0.761,-0.327,-0.154
Mark Portugal ,I,15,15.9,4.026,1.3251,-0.762,-0.361,-0.109
Ed Figueroa ,I,8,15.9,3.512,1.3301,-0.762,-0.187,-0.113
Dummy Taylor ,I,9,15.8,2.747,1.267,-0.764,0.072,-0.06
Al Fitzmorris ,I,10,15.8,3.651,1.3446,-0.764,-0.234,-0.125
Jimmy Callahan ,I,13,15.8,3.386,1.3631,-0.764,-0.144,-0.141
Jim Brewer ,I,17,15.7,3.071,1.2092,-0.765,-0.038,-0.012
Alejandro Pena ,I,15,15.7,3.106,1.2197,-0.765,-0.05,-0.021
Dave Rozema ,I,10,15.7,3.467,1.2505,-0.765,-0.172,-0.046
Hank Borowy ,I,10,15.7,3.501,1.3296,-0.765,-0.183,-0.113
Joey Jay ,I,13,15.7,3.772,1.3367,-0.765,-0.275,-0.119
Bob Muncrief ,I,12,15.7,3.802,1.3523,-0.765,-0.285,-0.132
Mickey Haefner ,I,8,15.7,3.504,1.3575,-0.765,-0.184,-0.136
Luke Hamlin ,I,9,15.6,3.767,1.2776,-0.767,-0.273,-0.069
Gene Conley ,I,11,15.6,3.818,1.3326,-0.767,-0.29,-0.115
