Player ,Status,Years,WAR,ERA,WHIP,WAR vs HOF,ERA vs HOF,WHIP vs HOF
Si Johnson ,I,17,12.1,4.087,1.4014,-0.819,-0.381,-0.173
Mace Brown ,I,10,12.1,3.465,1.407,-0.819,-0.171,-0.177
Vern Ruhle ,I,13,12,3.731,1.2974,-0.821,-0.261,-0.086
Diego Segui ,I,15,12,3.809,1.3509,-0.821,-0.287,-0.13
Mike Fiers ,A,10,11.9,4.043,1.2611,-0.822,-0.366,-0.055
Bernie Boland ,I,7,11.9,3.246,1.2778,-0.822,-0.097,-0.069
Elmer Riddle ,I,10,11.9,3.405,1.3998,-0.822,-0.151,-0.171
Bob Rhoads ,I,8,11.8,2.612,1.2402,-0.824,0.117,-0.038
Hugh Daily ,I,6,11.8,2.919,1.2459,-0.824,0.014,-0.043
John Buzhardt ,I,11,11.8,3.665,1.2625,-0.824,-0.239,-0.056
Roger Wolff ,I,7,11.8,3.406,1.301,-0.824,-0.151,-0.089
Phil Regan ,I,13,11.8,3.836,1.3397,-0.824,-0.296,-0.121
Larry McWilliams ,I,13,11.8,3.985,1.3412,-0.824,-0.347,-0.122
Pat Zachry ,I,10,11.8,3.524,1.3947,-0.824,-0.191,-0.167
Frank Miller ,I,7,11.7,3.012,1.1861,-0.825,-0.018,0.007
